client_id;client_slug;loss_reason_id;loss_reason_name;created_at;updated_at;sort
1;artroyal_detailing;20539126;Дорого;2025-04-22 08:47:59;2025-04-22 09:39:53;0
1;artroyal_detailing;20539130;Пропала потребность;2025-04-22 08:47:59;2025-04-22 09:39:53;1
1;artroyal_detailing;20539134;Далеко ехать;2025-04-22 08:47:59;2025-04-22 09:39:53;2
1;artroyal_detailing;20539138;Выбрал других;2025-04-22 08:47:59;2025-04-22 09:39:53;3
1;artroyal_detailing;20539842;Спам;2025-04-22 09:39:53;2025-07-14 07:16:38;4
1;artroyal_detailing;21277406;Не было места принять;2025-07-14 07:16:38;2025-07-14 07:16:38;5
1;artroyal_detailing;22420258;Задал вопрос после покупки;2025-12-11 10:27:12;2025-12-11 10:27:12;6
1;artroyal_detailing;22761922;Другое;2026-02-05 05:39:46;2026-02-05 05:39:46;7
